,FID,X,Y,TWI,Curvatura,Declividade,Elevacao,Aspecto,Geologia,Uso,class
62,63,365913.686911,7345096.08302,4.413445472719999,0.00765223056078,40.2957992554,96.75154876709999,269.449981689,65,90,0
124,125,373849.0,7347447.0,4.85628700256,-0.0141001045704,28.5705947876,52.260036468500005,139.243637085,2,20,1
121,122,373638.0,7347284.0,3.21994924545,-0.007090581581,21.780212402300002,14.4858932495,232.719696045,2,90,1
111,112,371944.0,7346264.0,3.07017087936,-0.00959590449929,24.897539138800003,17.953464508099998,200.933563232,2,90,1
81,82,370877.280171,7347133.378760001,10.8768129349,-8.5966694314e-06,0.261137872934,2.47197437286,217.65776062,2,70,0
37,38,376246.56868699996,7350862.247330001,4.78144741058,0.00953483488411,18.539089202899998,159.543457031,96.6604309082,65,90,0
128,129,372536.0,7347728.0,5.244135856630001,-0.00908362027258,34.4575042725,25.577629089400002,60.791450500500005,65,30,1
152,153,379634.0,7352698.0,7.0759482383700005,-0.0189022030681,16.0327949524,5.50639820099,115.218528748,2,30,1
140,141,373481.0,7348487.0,7.14459514618,-0.0065494319424,15.439682960499999,34.9199867249,347.29446411099997,65,90,1
122,123,372051.0,7347313.0,3.47162699699,-0.000173853943124,31.8539009094,155.180374146,323.282043457,65,20,1
100,101,367437.0,7344309.0,6.84159517288,-0.0177305545658,23.1818199158,5.08953332901,45.195274353,65,90,1
132,133,373058.0,7348081.0,3.5995321273800003,-0.00573513424024,28.6667613983,30.5411052704,323.792419434,65,30,1
125,126,373367.0,7347570.0,2.9544262886,-0.00710718426853,27.5233707428,53.8521080017,148.607894897,2,90,1
175,176,380573.0,7355121.0,4.9562625885000005,0.00438008736819,26.2314472198,135.140625,359.418365479,65,90,1
85,86,376334.322335,7350301.77051,3.22289180756,0.00523474533111,21.7221832275,194.488189697,102.84366607700001,65,90,0
12,13,382490.747842,7355687.727810001,9.1043176651,7.56157096475e-05,0.19111335277600003,5.4161205291700005,298.583953857,65,30,0
74,75,369908.903234,7346895.253280001,10.2399501801,7.5260036283e-06,0.28647968173,2.96725440025,311.528808594,2,20,0
193,194,379331.166709,7356869.343660001,5.4576640129100005,0.00476446375251,27.0952205658,20.9348373413,334.631256104,65,90,1
178,179,381065.0,7355286.0,5.47035884857,-0.0195110812783,22.829744339,10.2810382843,175.213912964,2,90,1
130,131,372376.0,7347832.0,4.46455049515,0.00322865019552,24.7210998535,30.0111484528,317.04397583,65,30,1
2,3,379309.264479,7351812.10339,9.85606479645,-3.07313093799e-05,0.360465288162,1.01682853699,316.788391113,2,30,0
186,187,379331.0,7355938.0,3.66987729073,0.0128799062222,27.0030288696,185.17474365200002,226.217346191,65,90,1
116,117,371843.0,7346480.0,4.02576303482,-0.00810757186264,28.1687850952,29.666530609099997,282.0887146,2,90,1
38,39,376818.06983,7350798.7472,6.44676065445,0.00125637662131,0.9084340929989999,7.10303211212,112.230392456,65,90,0
187,188,380895.0,7356004.0,3.01206588745,0.000458783557406,26.1925430298,119.269805908,22.1637992859,65,90,1
