,Unnamed: 0,declined,valueClient,extraCost,valueResources,net,processDuration,daysOnContact,daysOnInterview,daysOnSendCV,daysOnReturn,daysOnCSchedule,daysOnCRealized,cluster
141,141,1,10500.0,0.0,4000.0,1568.0,27,0,0,0,0,6,14,1
142,142,0,12000.0,0.0,4500.0,1917.0,32,0,0,0,0,11,11,1
143,143,0,10500.0,0.0,4000.0,1568.0,25,0,0,0,0,6,14,1
144,144,0,13440.0,0.0,6925.38,753.481344,83,0,1,3,1,2,6,1
145,145,0,13440.0,0.0,10500.0,467.04,17,0,0,0,0,2,0,0
146,146,0,5994.24,0.0,2598.96,2292.33984,5,0,0,0,3,0,0,0
147,147,1,16800.0,0.0,5600.0,761.6,74,0,1,2,33,1,2,1
148,148,0,16800.0,0.0,3059.83,416.13688,78,0,0,0,0,0,0,0
149,149,0,16800.0,0.0,3500.0,476.0,42,1,1,0,16,4,1,1
150,150,0,14784.0,0.0,9240.0,2823.744,26,0,0,5,15,3,0,1
151,151,0,16800.0,0.0,13440.0,1827.84,39,0,0,0,8,1,7,0
152,152,1,15288.0,0.0,11760.0,715.008,11,0,0,0,0,0,0,0
153,153,1,16800.0,0.0,11645.66,1583.80976,32,0,5,0,0,1,0,1
154,154,0,10080.0,0.0,6384.0,1841.28,26,0,3,0,0,0,0,0
155,155,0,13440.0,0.0,10584.0,383.04,10,0,0,0,3,1,0,0
156,156,0,12000.0,0.0,5000.0,1292.0,24,0,0,8,0,2,1,1
157,157,0,12264.0,0.0,8400.0,1607.424,0,0,0,0,0,0,0,0
158,158,0,13440.0,0.0,10920.0,47.04,34,0,5,0,0,0,1,1
159,159,0,13440.0,0.0,11928.0,-960.96,47,0,0,0,2,4,0,0
160,160,0,13440.0,0.0,10248.0,719.04,10,0,0,0,3,1,0,0
161,161,0,13440.0,0.0,7560.0,3407.04,49,1,1,0,0,5,1,1
162,162,0,12012.0,0.0,0.0,9801.792,0,0,0,0,0,0,0,0
163,163,0,10651.2,0.0,6500.0,-2358.6208,7,0,0,0,0,0,0,0
164,164,0,18312.0,0.0,12600.0,2342.592,55,0,0,0,24,4,3,1
165,165,0,19756.8,0.0,4200.0,8771.5488,37,1,5,0,0,1,7,1
166,166,1,13440.0,0.0,10239.6,727.44,13,0,0,1,0,5,1,0
167,167,0,11029.2,0.0,7499.52,1500.3072,12,0,0,0,5,1,0,0
168,168,0,16800.0,0.0,10074.54,1370.13744,40,0,1,0,6,3,8,1
169,169,0,13440.0,0.0,11928.0,-960.96,14,1,0,0,1,5,0,0
170,170,0,13440.0,0.0,11760.0,-792.96,22,2,0,1,0,5,1,1
171,171,0,13944.0,0.0,8400.0,2978.304,43,0,0,0,0,11,0,0
172,172,0,14710.08,0.0,10506.72,1496.70528,0,0,0,0,0,0,0,0
173,173,0,16800.0,0.0,8800.0,1196.8,30,0,0,1,0,6,17,1
174,174,0,10699.67,0.0,3500.0,2605.93072,68,0,1,5,29,0,8,1
175,175,0,14112.0,0.0,8904.0,2611.3920000000007,19,1,0,0,0,0,0,0
176,176,0,12600.0,0.0,6384.0,3897.6,5,0,0,0,1,0,0,0
177,177,0,16800.0,0.0,3059.83,416.13688,55,0,3,1,1,1,26,1
178,178,0,13440.0,0.0,11760.0,-792.96,33,0,4,0,0,0,0,1
179,179,0,13440.0,0.0,11760.0,-792.96,17,0,3,0,0,2,0,1
180,180,0,13440.0,0.0,10080.0,887.04,9,0,0,0,0,1,1,0
181,181,0,9240.0,0.0,5880.0,1659.84,91,0,4,0,1,3,3,1
182,182,0,15849.12,0.0,10439.52,2493.36192,71,0,4,0,29,4,0,1
183,183,0,8969.52,0.0,6720.0,599.12832,9,0,1,0,0,0,5,0
184,184,0,16800.0,0.0,7210.14,980.57904,49,0,0,0,0,0,0,0
185,185,0,14999.04,0.0,11424.0,815.21664,12,0,1,0,0,0,1,0
186,186,0,16800.0,0.0,7354.34,1000.19024,54,0,0,0,0,0,0,0
187,187,0,9240.0,0.0,3696.0,3843.84,11,0,1,0,0,3,1,0
188,188,1,6048.0,0.0,4032.0,903.168,81,0,0,0,75,0,1,1
189,189,0,13440.0,0.0,11760.0,-792.96,25,0,3,0,0,0,0,0
190,190,0,5994.24,0.0,3528.0,1363.29984,2,0,0,0,0,0,0,0
191,191,0,13440.0,0.0,11760.0,-792.96,35,0,4,0,0,7,4,1
192,192,0,12999.84,0.0,8000.0,-2992.13056,7,0,2,0,0,0,0,0
193,193,0,9999.36,0.0,7224.0,935.47776,27,0,1,2,10,8,0,1
194,194,1,16800.0,0.0,10920.0,1485.12,0,0,0,0,0,1,19,0
195,195,0,13440.0,0.0,10920.0,47.04,20,0,4,0,0,1,7,1
196,196,0,14275.0,0.0,8000.0,-1951.6,10,0,0,0,0,1,0,0
197,197,0,16800.0,0.0,4500.0,612.0,28,0,2,0,1,7,6,1
198,198,1,11046.0,0.0,8064.0,949.536,0,0,0,1,0,1,7,0
199,199,0,13440.0,0.0,10584.0,383.04,6,0,0,0,0,1,0,0
200,200,0,9100.0,0.0,3500.0,1300.6,14,1,0,0,3,1,0,0
201,201,0,16632.0,0.0,10998.96,2572.752,17,0,0,0,4,1,8,0
202,202,0,13245.12,0.0,4515.75,2905.45542,28,2,0,0,6,1,8,1
203,203,0,25200.0,0.0,12936.0,7627.2,42,1,0,16,1,6,0,1
204,204,0,13440.0,0.0,6150.0,669.12,15,1,0,1,0,5,0,0
205,205,0,6317.5,0.0,1450.0,2617.58,42,0,0,0,28,2,5,1
206,206,0,23249.52,0.0,9999.36,8972.24832,12,1,0,0,0,0,0,0
207,207,0,19320.0,0.0,12348.0,3417.12,19,0,0,0,3,3,1,0
208,208,0,14448.0,0.0,9576.0,2213.568,20,1,5,0,1,7,0,1
209,209,0,15120.0,0.0,10080.0,2257.92,15,0,0,0,0,9,4,0
210,210,0,16800.0,0.0,11000.0,1496.0,54,1,0,0,1,6,28,1
211,211,0,19908.0,0.0,8000.0,1289.28,45,0,8,0,0,1,1,1
212,212,0,16800.0,0.0,10080.0,1370.88,20,2,1,0,0,4,2,1
213,213,0,15960.0,0.0,9999.36,3024.0,0,0,0,0,0,0,0,0
214,214,0,16296.0,0.0,9744.0,3553.536,13,0,0,0,0,1,5,0
215,215,0,6786.72,0.0,1800.0,2387.96352,5,0,0,0,0,0,0,0
216,216,0,16800.0,0.0,5607.02,762.55472,45,0,4,0,1,1,26,1
217,217,0,10080.0,0.0,6720.0,1505.28,17,0,0,7,0,0,0,0
218,218,0,16800.0,0.0,8000.0,1088.0,10,0,0,0,3,1,0,0
219,219,0,13272.0,0.0,7056.0,3773.952,10,0,4,0,1,0,1,1
220,220,0,12012.0,0.0,14280.0,-4478.208,15,0,0,0,0,0,0,0
221,221,0,16800.0,0.0,7499.52,1019.93472,9,0,0,0,2,5,0,0
222,222,0,6786.72,0.0,1809.36,2371.58352,21,0,0,3,12,2,0,1
223,223,0,15960.0,0.0,11424.0,1599.36,8,0,0,0,0,2,1,0
224,224,0,6786.72,0.0,1809.36,2371.58352,22,0,1,2,12,2,0,1
225,225,0,15120.0,0.0,8400.0,3937.92,5,0,0,0,0,1,1,0
226,226,0,16800.0,0.0,8887.5,1208.7,46,0,0,4,9,6,2,1
227,227,0,10500.0,0.0,3873.05,1790.1625,39,1,2,0,0,5,13,1
228,228,0,6786.72,0.0,1809.36,2371.58352,19,0,1,0,12,2,0,0
229,229,0,17298.96,0.0,11398.8,2717.1513600000008,31,0,4,0,2,4,1,1
230,230,0,15624.0,0.0,7560.0,5189.184,0,0,0,0,0,0,0,0
231,231,0,23520.0,0.0,5500.0,9842.32,16,1,0,1,0,8,0,0
232,232,1,14999.04,0.0,10500.0,1739.21664,0,0,0,0,2,1,3,0
233,233,0,18666.48,0.0,5600.0,846.21376,31,0,0,0,0,3,12,0
234,234,0,13440.0,0.0,9240.0,1727.04,41,0,1,0,0,7,19,1
235,235,0,10975.44,0.0,8232.0,723.9590400000002,13,0,0,0,0,0,0,0
236,236,0,16632.0,0.0,9999.36,3572.3520000000008,19,0,0,0,0,5,7,0
237,237,0,6786.72,0.0,1809.36,2371.58352,0,0,1,0,0,0,0,0
238,238,0,16800.0,0.0,11928.0,1780.8,0,0,0,0,0,0,0,0
239,239,0,14999.04,0.0,11249.28,989.93664,13,0,0,0,0,2,0,0
240,240,0,6786.72,0.0,1809.36,2371.58352,7,0,1,0,0,0,1,0
241,241,0,16800.0,0.0,7000.0,952.0,19,0,0,0,0,0,2,0
242,242,0,16999.92,0.0,11998.56,1873.37472,0,0,0,0,0,0,0,0
243,243,0,15128.4,0.0,10080.0,2264.7744,11,0,0,0,4,2,0,0
244,244,0,13440.0,0.0,7365.21,801.3348480000002,13,0,0,0,1,4,0,0
245,245,0,17472.0,0.0,13776.0,481.152,13,1,1,0,1,3,0,0
246,246,0,10500.0,0.0,4007.2,1555.4,0,0,0,0,0,0,0,0
247,247,0,16800.0,0.0,9957.0,1354.152,37,1,1,0,3,3,6,1
248,248,0,21840.0,0.0,15960.0,1861.44,40,0,0,0,3,3,6,0
249,249,0,11198.88,0.0,14280.0,-5141.71392,2,0,0,0,0,0,0,0
250,250,1,13805.0,0.0,11000.0,-7435.12,0,0,0,0,0,0,0,0
251,251,0,17472.0,0.0,9240.0,5017.152,11,0,0,0,0,1,0,0
252,252,0,12517.68,0.0,9974.16,240.26688,16,0,0,0,0,0,0,0
253,253,0,12768.0,0.0,7056.0,3362.688,12,0,0,0,0,0,0,0
258,258,0,6216.0,0.0,4200.0,872.2560000000002,14,0,0,0,0,0,0,0
259,259,0,5040.0,0.0,3864.0,248.64,4,0,0,0,0,0,0,0
260,260,0,18826.08,0.0,14481.6,880.4812800000002,0,0,0,0,0,0,0,0
261,261,0,13228.32,0.0,10175.76,618.54912,0,0,0,0,0,0,0,0
262,262,0,17472.0,0.0,6114.0,3863.352,12,0,0,0,0,2,0,0
263,263,1,6048.0,0.0,4032.0,903.168,0,0,3,0,7,0,0,1
264,264,0,13440.0,0.0,9000.0,979.2,0,0,0,0,0,10,5,0
265,265,0,21840.0,0.0,11760.0,6061.44,0,0,3,1,8,5,0,1
266,266,0,6720.0,0.0,4499.04,984.48,0,0,1,0,4,0,0,0
267,267,0,13440.0,0.0,7500.0,816.0,0,2,1,0,0,1,19,1
268,268,0,13440.0,0.0,4724.0,513.9712,0,0,0,0,0,4,0,0
269,269,0,19908.0,0.0,8000.0,1289.28,0,0,0,0,0,0,0,0
270,270,0,15120.0,0.0,8038.8,4299.12,0,0,4,0,0,1,5,1
271,271,0,4725.39,0.0,1346.1,1500.24324,0,0,0,0,0,0,0,0
272,272,0,0.0,0.0,7500.0,0.0,0,0,0,0,0,0,0,0
273,273,0,28392.0,0.0,9500.0,7017.871999999999,0,0,1,0,0,4,0,0
274,274,0,28392.0,0.0,7500.0,10417.872,0,0,0,4,0,0,0,0
275,275,0,12600.0,0.0,10920.0,-638.4,0,0,1,0,6,1,5,0
276,276,0,11198.88,0.0,7728.0,1410.28608,0,1,0,0,5,4,0,0
277,277,0,19908.0,0.0,6000.0,966.96,0,0,0,0,0,0,0,0
278,278,0,10500.0,0.0,4007.2,1555.4,0,0,1,0,11,0,0,0
279,279,0,12000.0,0.0,5036.4,1230.12,0,1,0,0,10,0,0,0
280,280,0,2100.0,0.0,8500.0,-12736.4,0,0,0,0,6,2,32,1
281,281,0,13272.0,0.0,8000.16,2829.792,0,3,0,0,0,0,0,0
282,282,0,10752.0,0.0,7224.0,1549.632,0,2,0,4,0,0,0,0
283,283,0,19908.0,0.0,2000.0,322.32,0,1,5,0,0,0,0,1
284,284,0,10080.0,0.0,6048.0,2177.28,0,0,0,0,0,0,0,0
285,285,0,8400.0,0.0,5376.0,1478.4,0,1,1,0,13,12,0,1
286,286,0,19908.0,0.0,6000.0,966.96,0,0,0,0,0,0,0,0
287,287,0,16800.0,0.0,2998.8,407.8368,0,0,0,0,0,0,0,0
288,288,0,22176.0,0.0,13440.0,4655.616,0,0,0,0,0,0,0,0
289,289,0,9878.4,0.0,7560.0,500.7744,0,1,1,1,0,11,7,1
290,290,0,16800.0,0.0,12264.0,1444.8,0,1,0,6,0,0,0,0
291,291,1,17976.0,0.0,13776.0,892.416,0,0,0,0,0,0,0,0
292,292,0,22512.0,0.0,14280.0,4089.792,0,0,0,0,0,0,0,0
293,293,0,18312.0,0.0,11760.0,3182.592,0,0,0,0,0,0,0,0
294,294,0,19908.0,0.0,7000.0,1128.12,0,0,0,0,0,0,0,0
295,295,0,5384.62,0.0,2041.4,821.3999200000002,0,1,0,0,0,0,0,0
296,296,0,18816.0,0.0,12600.0,2753.856,0,0,0,0,0,0,0,0
297,297,0,19908.0,0.0,5500.0,886.38,0,0,0,0,0,0,0,0
298,298,0,16632.0,0.0,12000.24,1571.4720000000002,0,0,0,0,0,0,0,0
299,299,0,23184.0,0.0,13944.0,4974.144,0,0,2,0,10,2,12,1
300,300,0,19908.0,0.0,8500.0,1369.86,0,0,0,0,0,0,0,0
301,301,0,20059.2,0.0,3759.0,610.4014559999998,0,0,1,8,5,0,0,1
302,302,0,19152.0,0.0,13440.0,2188.032,0,0,0,0,0,0,0,0
303,303,0,4000.0,0.0,1450.0,726.5,0,0,0,0,0,0,0,0
304,304,0,25872.0,0.0,18480.0,2631.552,0,0,0,0,0,0,0,0
305,305,0,9000.0,0.0,3000.0,2094.0,0,0,0,0,0,0,0,0
306,306,0,9912.0,0.0,6602.4,1485.792,0,0,0,0,0,0,0,0
307,307,0,17976.0,0.0,13440.0,1228.4160000000004,0,0,0,0,0,0,0,0
308,308,0,11760.0,0.0,5040.0,4556.16,0,0,0,0,0,0,0,0
309,309,0,15288.0,0.0,8400.0,4075.008,0,0,0,0,0,0,0,0
310,310,0,18480.0,0.0,12600.0,2479.68,0,0,0,0,0,0,0,0
311,311,0,13440.0,0.0,7365.21,801.3348480000002,0,0,0,0,0,0,0,0
312,312,0,17136.0,0.0,12432.0,1550.976,0,0,0,0,0,0,0,0
313,313,0,17038.56,0.0,10920.0,2983.46496,0,0,0,0,0,0,0,0
314,314,0,10799.04,0.0,6720.0,2092.01664,0,0,0,0,0,0,0,0
315,315,0,13440.0,0.0,9400.0,1022.72,0,0,0,0,0,0,0,0
316,316,0,15120.0,0.0,6216.0,760.8384,0,0,0,0,0,0,0,0
317,317,1,14627.76,0.0,8499.12,3437.13216,0,0,3,0,0,0,0,0
318,318,0,19908.0,0.0,3612.13,582.1308707999998,0,0,0,0,0,0,0,0
319,319,0,15960.0,0.0,12264.0,759.36,0,0,0,0,0,0,0,0
320,320,0,9744.0,0.0,6048.0,1903.104,0,0,0,0,0,0,0,0
321,321,0,10920.0,0.0,8064.0,846.72,0,0,0,0,0,0,0,0
322,322,1,14784.0,0.0,6500.0,1013.744,0,0,0,0,0,0,0,0
323,323,0,15120.0,0.0,5040.0,616.896,0,0,0,0,0,0,0,0
324,324,0,22680.0,0.0,21000.0,-2493.12,0,0,0,0,0,0,0,0
325,325,0,14758.8,0.0,9744.0,2299.1808,0,0,0,0,0,0,0,0
326,326,0,15120.0,0.0,6720.0,822.528,0,0,0,0,0,0,0,0
327,327,0,19908.0,0.0,6500.0,1047.54,0,0,0,0,0,0,0,0
328,328,1,17976.0,0.0,13440.0,1228.4160000000004,0,0,0,0,0,0,0,0
329,329,0,15624.0,0.0,8400.0,4349.184,0,0,0,0,0,0,0,0
330,330,0,5880.0,0.0,4704.0,94.08,0,0,0,0,0,0,0,0
331,331,0,20059.2,0.0,10920.0,1773.23328,0,0,0,0,0,0,0,0
332,332,0,12000.0,0.0,4500.0,1917.0,0,0,0,0,0,0,0,0
333,333,0,12000.0,0.0,4515.75,1889.4375,0,0,0,0,0,0,0,0
